title	author	DOI_link	DOI	vol	JOURNAL	profile_c
Activity of the Essential Oil of Salvia pomifera L. ssp. calyclna (Sm.) Hayek Against Soil Borne Pathogens	"Danae Pitarokili, Olga Tzakou & Anna Kalamarakis"	https://doi.org/10.1080/10412905.2002.9699769	10.1080/10412905.2002.9699769	"VOL. 14, 72-75 (Jan/Feb 2002)"	Journal of Essential Oil Research	JESpogr2002Aer
Advances in the Chemical Composition of Essential Oils from Illicium griffithii Hook.f. Et Thoms. from Vietnam	"Nguyen Thi Tam, Ha Lai An,Ange Bighelli,Alain Muselli, Joseph Casanova"	https://doi.org/10.1080/10412905.2005.9698836	10.1080/10412905.2005.9698836	"VOL. 17, 79-81 (Jan/Feb 2005)"	Journal of Essential Oil Research	JEIgrvi2005roo#JEIgrvi2005fru#JEIgrvi2005bra#JEIgrvi2005lea
Advances in the Chemical Composition of Lavandula dentata L. Essential Oil from Algeria	"Leila Bousmaha, Fewzia Atik Bekkara, Felix Tomi & Joseph Casanova"	https://doi.org/10.1080/10412905.2005.9698907	10.1080/10412905.2005.9698907	"VOL. 17, 292-295 (May/June 2005)"	Journal of Essential Oil Research	JELdeal2005flo#JELdeal2005Aer
Advances in the Chemical Composition of Lavandula dentata L. Essential Oil from Algeria	"Leila Bousmaha, Fewzia Atik Bekkara, Felix Tomi, Joseph Casanova"	https://doi.org/10.1080/10412905.2005.9698907	10.1080/10412905.2005.9698907	"VOL. 17, 292-295 (May/June 2005)"	Journal of Essential Oil Research	JELdeal2005lea
Aeollanthus pubescens Benth. A Potential Source of Thymol-rich Essential Oil	"Komla Sanda, Koffi Koba, Baba A. Walla, Koffi Akpagana, FranÃ§ois-Xavier Garneau, HÃ©lÃ¨ne Gagnon & France-Ida Jean"	https://doi.org/10.1080/10412905.1999.9701138	10.1080/10412905.1999.9701138	"VOL. 11, 257-258 (Mar/Apr 1999)"	Journal of Essential Oil Research	JEAputo1999Aer
Ageratum conyzoides essential oil as aflatoxin suppressor of Aspergillus flavus.	"Juliana H.C.Nogueira, Edlayne Goncalez ,Silvia R.Galleti,Roseane Facanali,Marcia O.M.Marques,Joana D.FelÃ_cio."	https://doi.org/10.1016/j.ijfoodmicro.2009.10.017	10.1016/j.ijfoodmicro.2009.10.017	"VOL.137,55â€“60(2010)"	International Journal of Food Microbiology	JEACosapastbr2010Aer
Agronomical and Chemical Studies on Tagetes minuta Grown in a Red Soil of a Semiarid Tropical Region in India	"E. V.S. Prakasa Rao , K. V. Syamasundar , C. T. Gopinath & S. Ramesh"	https://doi.org/10.1080/10412905.1999.9701127	10.1080/10412905.1999.9701127	"VOL. 11, 259-261 (Mar/Apr 1999)"	Journal of Essential Oil Research	JETminohiin1999Lea#JETminohiin1999Flo
Agronomical evaluation of Sicilian biotypes of Lavandula stoechasÂ L. spp.Â stoechasÂ and analysis of the essential oils	"Teresa Tuttolomondo, Giacomo Dugo, Giuseppe Ruberto, Claudio Leto, Edoardo M. Napoli, Angela Giorgia PotortÃ¬, Maria Rita Fede, Giuseppe Virga, Raffaele Leone, Eleonora Dâ€™ Anna, Mario Licata & Salvatore La Bella"	https://doi.org/10.1080/10412905.2014.1001527	10.1080/10412905.2014.1001527	"VOL. 27, 115-124 (Mar/Apr 2015)"	Journal of Essential Oil Research	JEHcoin2015flo#JEHcoin2015lea#JEHcoin2015ste
"Airborne Volatiles from Melinis minutiflora P. Beauv., a Non-Host Plant of the Spotted Stem Borer."	"Solomon M. Kimani, Sumesh C. Chhabra, Wilber Lwande, Z. R. Khan, Ahmed Hassanali, John A. Pickett."	https://doi.org/10.1080/10412905.2000.9699502	10.1080/10412905.2000.9699502	"VOL. 12, 221-224 (Mar/Apr 2000)"	Journal of Essential Oil Research	JEMminake2000Who
"Alpha-Phellandren-8-ol, a Rare Monoterpenene Alcohol from the Oil of Prostanthera staurophylla F. Muell."	"Michael Russell , Ian A. Southwell & Peter G. Waterman"	https://doi.org/10.1080/10412905.2001.9699723	10.1080/10412905.2001.9699723	"VOL. 13, 446-447 (Nov/Dec 2001)"	Journal of Essential Oil Research	JEPstnesowaau2001Lea
