ID	title	author	DOI	vol	JOURNAL
EBib000282	Chemical Composition of Essential Oils from Two Iranian Species of Artemisia	L. Ahmadi & M. Mirza	10.1080/10412905.2001.9699595	VOL. 13, 30 (Jan/Feb 2001)	Journal of Essential Oil Research
EBib000283	Chemical Composition Of Essential Oils Of Lantana Camara Leaves And Flowers From Cameroon And Madagascar	Martin Benoit Ngassoum,1 Samuel Yonkeu,1 Leopold Jirovetz,2 Gerhard Buchbauer,2* Gerhard Schmaus3 and Franz-Josef Hammerschmidt	10.1002/(sici)1099-1026(199907/08)14:4<245::aid-ffj819>3.0.co;2-x	Vol14, 245±250 (1999)	Flavour And Fragrance Journal
EBib000284	Chemical Composition of Essential Oils of Licaria salicifolia (Sw.) Kosterm. Of Guadeloupe (F.W.I) - Existence of Chemotype Species.	Muriel Sylvestre, Jackueline Abaul, Emile Philogene, Paul Bourgeois, Jean-Marie Bessiere.	10.1080/10412905.2002.9699751	VOL. 14, 25-28 (Jan/Feb 2002)	Journal of Essential Oil Research
EBib000285	Chemical Composition of Essential Oils of Teucrium chamaedrys L. from Corsica and Sardinia	Alain Muselli, Jean-Marie Desjobert, Julien Paolini, Antoine-Francois Bernardini, Jean Costa, Antonella Rosa, Maria Assunta Dessi	10.1080/10412905.2009.9700133	VOL. 21, 138-143 (Mar/Apr 2009)	Journal of Essential Oil Research
EBib000286	Chemical Composition of Essential Oils of Three Salvia Species Growing Wild in Iran: Salvia rhytidea Benth., S. limbata C.A. Mey. and S. palaestina Benth.	Abdolhossein Rustaiyan, Mohammad Reza Akhgar, Shiva Masoudi & Fereshteh Nematollahi	10.1080/10412905.2005.9698982	VOL. 17, 522-524 (Sep/Oct 2005)	Journal of Essential Oil Research
EBib000287	Chemical Composition of Essential Oils of Three Stachys Species Growing Wild in Iran: Stachys asterocalyx Rech. f. Stachys obtusicrena Boiss. and Stachys multicaulis Benth.	Mina Jamzad, Mohammad Taghi Akbari, Abdolhossein Rustaiyan, Shiva Masoudi, Leila Azad	10.1080/10412905.2009.9700123	VOL. 21, 101-104 (Mar/Apr 2009)	Journal of Essential Oil Research
EBib000288	Chemical composition of essential oils of two species of the Lamiaceae family: Scutellaria volubilis and Lepechinia paniculata from Loja, Ecuador	Eduardo Valarezo, Andrea Castillo, Diana Guaya, Vladimir Morocho & Omar Malagón	10.1080/10412905.2012.645638	VOL. 24, 31-37(Jan/Feb 2012)	Journal of Essential Oil Research
EBib000289	Chemical Composition of Fennel Oil, Foeniculum vulgare Miller, from Spain	Noemi Garcia-Jimenez, Maria Jose Perez-Alonso, Arturo Velasco-Negueruela	10.1080/10412905.2000.9699487	VOL. 12, 159-162 (Mar/Apr 2000)	Journal of Essential Oil Research
EBib000290	Chemical Composition of Five Essential Oils of Eucalyptus Species from Mali: E. houseana F.V. Fitzg. ex Maiden, E. citriodora Hook., E. Raveretiana F. Muell., E. robusta Smith and E. urophylla S.T. Blake	N. Traoré, L. Sidibé, G. Figuérédo & J-C. Chalchat	10.1080/10412905.2010.9700385	VOL. 22, 510-513 (Nov/Dec 2010 )	Journal of Essential Oil Research
EBib000291	Chemical composition of fruit and stem essential oils of Lantana camara from northern India	M. Khan, S. K. Srivastava, N. Jain, K. V. Syamasundar, A. K. Yadav	10.1002/ffj.1197	VOL. 18(5), 376–379 (Sep/Oct 2003)	Flavour and Fragrance Journal
EBib000292	Chemical composition of Grapefruit Oil Concentrates.	Jorge A. Pino, Maria Sanchez.	10.1080/10412905.2000.9699489	VOL. 12, 167-169 (Mar/Apr 2000)	Journal of Essential Oil Research
EBib000293	Chemical Composition Of Lantana Camara Fruit Essential Oil	RABINDRA KUMAR SINGH1,*, BALENDRA TIWARI2, UMA SHARMA1 and SATYENDRA PRASAD SINGH		Vol 24, No. 12 , 5955-5956(2012)	Asian Journal Of Chemistry
EBib000294	Chemical composition of leaf and flower essential oil of Lantana camara from India	M. Khan, S. K. Srivastava, K. V. Syamasundar, M. Singh, A. A. Naqvi	10.1002/ffj.1047	VOL. 17(1) 75 – 77 (Dec 2001)	Flavour and Fragrance Journal
EBib000295	Chemical Composition of Leaf and Fruit Oils of Heracleum candolleanum	Anil J. John , Vrujesh P. Karunakaran , Varughese George & Mathur G. Sethuraman	10.1080/10412905.2007.9699304	VOL. 19, 358–359 (July/Aug 2007)	Journal of Essential Oil Research
EBib000296	Chemical composition of leaf and stem oils from Vietnamese Cupressus tonkinensis Silba	Tran Huy Thai, Ophélie Bazzali, Nguyen Thi Hien, Pham Van The, Phan Ke Loc, Tran Minh Hoi, Félix Tomi, Joseph Casanova & Ange Bighelli	10.1080/10412905.2012.751056	VOL. 25, 11-16 (Jan/Feb 2013)	Journal of Essential Oil Research
EBib000297	Chemical Composition of Leaf Essential Oil From Solidago decurrens Lour.	Xiwu Zhu, Xiaohan Zhang, Jishuang Chen, Xiwu Zhu, Jicai Tan, Haixiang Chen..	10.1080/10412905.2009.9700190	VOL. 21, 354-356 (July/Aug 2009)	Journal of Essential Oil Research
EBib000298	Chemical Composition of Leaf Essential Oils of Calyptranthes microphylla B. Holts & M.L., Myrcia aff fosteri Croat and Eugenia octopleura Krug & Urb from Panama	Ana I. Santana Tenorio, Deisy Vargas, Alex Espinosa, Albano Díaz & Mahabir P. Gupta	10.1080/10412905.2011.9700478	VOL. 23, 29-33 (Sep/Oct 2011)	Journal of Essential Oil Research
EBib000299	Chemical Composition of Leaf Oils of Cinnamomum from Madagascar: C.zeylanicum Blume, C. camphora L., C. fragrans Baillon and C. angustifolium.	Jean-Claude Chalchat, Isabelle Valade.	10.1080/10412905.2000.9712153	VOL. 12, 537-540 (Sep/Oct 2000)	Journal of Essential Oil Research
EBib000300	Chemical Composition of Lebanese Rosemary (Rosamarinus officinalis L.) Essential Oil as a Function of the Geographical Region and the Harvest Time	Youssef Diab, Lizette Auezova, Hanna Chebib, Jean-Claude Chalchat, Gilles Figueredo	10.1080/10412905.2002.9699918	VOL. 14, 449-452 (Nov/Dec 2002)	Journal of Essential Oil Research
EBib000301	Chemical composition of oil of Ageratum conyzoides L. From Vietnam.	Nguyen Xuan Dung,P.T.T.Tho,N.V.Dan,Piet A.Leclercq.	10.1080/10412905.1989.9697769	Vol.1,135-136(May/June1989)	Journal of Essential Oil Research
EBib000302	Chemical Composition of Pulicaria dysenterica (L.) Bernh. from Greece	A. Basta, O. Tzakou, M. Couladis & M. Pavlovi?	10.1080/10412905.2007.9699296	VOL. 19, 333-335 (July/Aug 2007)	Journal of Essential Oil Research
EBib000303	Chemical Composition of Santolina chamaecyparissus L. Essential Oil	B. Demirci, T. Ozek, K.H.C Baser	10.1080/10412905.2000.9712173	VOL. 12, 625-627 (Sep/Oct 2000)	Journal of Essential Oil Research
EBib000304	Chemical Composition of Tanacetum larvatum Essential Oil	Vanja M. Bulatovic , Vlatka E. Vajs , Ivana T. Aljancic , Slobodan M. Milosavljevic , Dejan D. Djokovic & Silvana D. Petrovic	10.1080/10412905.2006.9699040	VOL. 18, 226-128 (Mar/Apr 2006)	Journal of Essential Oil Research
EBib000305	Chemical Composition of Teucrium alopecurus Essential Oil from Tunisia	Souleima F. Hachicha, Thouraya Skanji, Sami Barrek, Hédi Zarrouk & Zeineb G. Ghrabi	10.1080/10412905.2007.9699939	VOL. 19, 413-415 (Sep/Oct 2007)	Journal of Essential Oil Research
EBib000306	Chemical Composition of the Aerial Parts of Piper nigrum L. from Cuba	J.A.Pino, J.Aguero, V.Fuentes	10.1080/10412905.2003.9712116	VOL. 15, 209-210 (May/June 2003)	Journal of Essential Oil Research
EBib000307	Chemical composition of the aliphatic compounds rich essential oil of Hypericum japonicum Thunb. ex Murray from India	Ram S. Verma, Rajendra C. Padalia, Amit? Chauhan, Chandan?Singh? Chanotiya & Anju? Yadav	10.1080/10412905.2012.728082	VOL. 24, 501-505 (Nov/Dec 2012)	Journal of Essential Oil Research
EBib000308	Chemical Composition of the Bark Oil of Cedrela odorata from S.Tome and Principe	A.P.Martins, L.R.Salgueiro, A.P da Cunha, R.Vila, S.Canigueral, F.Tomi, J.Casanova	10.1080/10412905.2003.9698629	VOL. 15, 422-424 (Nov/Dec 2003)	Journal of Essential Oil Research
EBib000309	Chemical Composition of the Essential Oil and Headspace Solid-Phase Microextraction of the Guava Fruit (Psidium guajava L.)	J.C Paniandy, J. Chane- Ming, J. C Pieribattesti	10.1080/10412905.2000.9699494	VOL. 12, 153-158 (Mar/Apr 2000)	Journal of Essential Oil Research
EBib000310	Chemical Composition of the Essential Oil from Aerial Parts, Leaves, Flowers and Roots of Artemisia persica Boiss. from Iran	Bibi Fatemeh Mirjalili , Mohammad Hossein Hakimi Meybody , Mohammad Mazloum Ardakani , Abdolhossein Rustaiyan , Nazak Ameri , Shiva Masoudi & Abdolhamid Bamoniri	10.1080/10412905.2006.9699162	VOL. 18, 544-547 (Sep/Oct 2006)	Journal of Essential Oil Research
EBib000311	Chemical Composition of the Essential Oil from Annatto (Bixa orellana L.) Seeds.	Jorge A. Pino, Margarita T. Correa.	10.1080/10412905.2003.9712065	VOL. 15, 66-67 (Mar/Apr 2003)	Journal of Essential Oil Research
