pid,pname,pfid,phid,pgenus
200,Baccharis linearis(A),15,1,Baccharis
201,Baccharis linearis(B),15,1,Baccharis
202,Baccharis magellanica,15,1,Baccharis
203,Baccharis obovata,15,1,Baccharis
204,Baccharis racemosa,15,1,Baccharis
205,Baccharis salicifolia,15,1,Baccharis
206,Baccharis spartioides,15,1,Baccharis
207,Baccharis tenella,15,1,Baccharis
208,Baccharis tricuneata,15,1,Baccharis
209,Backhousia enata,62,1,Backhousia
210,Backhousia myrtifolia,62,1,Backhousia
211,Backhoustu citriodora,62,1,Backhoustu
212,Ballota aucheri,47,1,Ballota
213,Barongia lophandra,62,1,Barongia
214,Bauhinia ungulata,37,1,Bauhinia
215,Becium grandiflorum ssp. grandiflorum,47,1,Becium
216,Berula erecta,11,1,Berula
217,Bidens alba,15,1,Bidens
218,Bidens cernua,15,1,Bidens
219,Bidens gardneri,15,1,Bidens
220,Bidens pilosa,15,1,Bidens
221,Bidens sulphurea,15,1,Bidens
222,Bidens tripartita,15,1,Bidens
223,Bifora radians,11,1,Bifora
224,Biota orientalis,32,1,Biota
225,Bixa orellana,18,1,Bixa
226,Blepharocalyx gigantea,62,1,Blepharocalyx
227,Blepharocalyx salicifolius,62,1,Blepharocalyx
228,Blepharocalyx tweediei,62,1,Blepharocalyx
229,Bocageopsis multiflora,9,1,Bocageopsis
230,Boesenbergia pandurata,101,1,Boesenbergia
231,Bombycilaena erecta,15,1,Bombycilaena
232,Borago officinalis,19,1,Borago
233,Bowdichia vigiliodes,37,1,Bowdichia
234,Brachystegia nigerica,37,1,Brachystegia
235,Brassica oleracea var. gongylodes,55,1,Brassica
236,Bryophyllum pinnatum,30,1,Bryophyllum
237,Bunium cylindricum,11,1,Bunium
238,Bunium persicum,11,1,Bunium
239,Bunium persicum (wild type),11,1,Bunium
240,Bupleurum bicaule,11,1,Bupleurum
241,Bupleurum chinense,11,1,Bupleurum
242,Bupleurum fruticosum,11,1,Bupleurum
243,Bupleurum gibraltarium,11,1,Bupleurum
244,Bupleurum longicaule,11,1,Bupleurum
245,Bupleurum malconense,11,1,Bupleurum
246,Bupleurum marginatum,11,1,Bupleurum
247,Bupleurum microcephalum,11,1,Bupleurum
248,Bupleurum rigidum,11,1,Bupleurum
249,Bupleurum scorzonerifolium,11,1,Bupleurum
250,Bupleurum smithii,11,1,Bupleurum
251,Bupleurum wenchuanense,11,1,Bupleurum
252,Bupleurum yinchowense,11,1,Bupleurum
253,Bursera aromatica,21,1,Bursera
254,Bursera hollickii,21,1,Bursera
255,Bursera microphylla,21,1,Bursera
256,C. reticulata x C.sinensis,84,1,C.
257,Cachrys alpina,11,1,Cachrys
258,Cachrys ferulacea,11,1,Cachrys
259,Cachrys trifida,11,1,Cachrys
260,Caesalpinia violacea,62,1,Caesalpinia
261,Calamintha Nepeta ssp. glandulosa,47,1,Calamintha
262,Calamintha nepeta,47,1,Calamintha
263,Calamintha nepeta ssp. nepeta,47,1,Calamintha
264,Calamintha nepeta ssp. nepeta var. subisodonda,47,1,Calamintha
265,Calamintha sylvatica,47,1,Calamintha
266,Calamintha sylvatica ssp. ascendens,47,1,Calamintha
267,Calamintha tauricola,47,1,Calamintha
268,Calamintha var.darensis,47,1,Calamintha
269,Calamintha vardarensis,47,1,Calamintha
270,Calendula officinalis,15,1,Calendula
271,Callistemon acuminatus,62,1,Callistemon
272,Callistemon chisholmii,62,1,Callistemon
273,Callistemon citrinus,62,1,Callistemon
274,Callistemon comboynesis,62,1,Callistemon
275,Callistemon flavovirens,62,1,Callistemon
276,Callistemon formosus,62,1,Callistemon
277,Callistemon forresterae,62,1,Callistemon
278,Callistemon genofluvialis,62,1,Callistemon
279,Callistemon glaucus,62,1,Callistemon
280,Callistemon kenmorrisonii,62,1,Callistemon
281,Callistemon linearifolius,62,1,Callistemon
282,Callistemon linearis,62,1,Callistemon
283,Callistemon montanus,62,1,Callistemon
284,Callistemon pachyphyllus,62,1,Callistemon
285,Callistemon pallidus,62,1,Callistemon
286,Callistemon pauciflorus,62,1,Callistemon
287,Callistemon pearsonii,62,1,Callistemon
288,Callistemon phoeniceus,62,1,Callistemon
289,Callistemon pinifolius,62,1,Callistemon
290,Callistemon pityoides,62,1,Callistemon
291,Callistemon polandii,62,1,Callistemon
292,Callistemon pungens,62,1,Callistemon
293,Callistemon recurvus,62,1,Callistemon
294,Callistemon rigidus,62,1,Callistemon
295,Callistemon rugulosus,62,1,Callistemon
296,Callistemon salignus,62,1,Callistemon
297,Callistemon shiressii,62,1,Callistemon
298,Callistemon sieberi,62,1,Callistemon
299,Callistemon sp.,62,1,Callistemon
300,Callistemon subulatus,62,1,Callistemon
301,Callistemon teretifolius,62,1,Callistemon
302,Callistemon viminalis,62,1,Callistemon
303,Calycolpus australis,62,1,Calycolpus
304,Calyptranthes microphylla,62,1,Calyptranthes
305,Calyptranthes sintenisii,62,1,Calyptranthes
306,Campomanesia adamantium,62,1,Campomanesia
307,Campomanesia guaviroba,62,1,Campomanesia
308,Campomanesia phaea,62,1,Campomanesia
309,Campomanesia pubescens,62,1,Campomanesia
310,Campomanesia sessiliflora,62,1,Campomanesia
311,Campomanesia xanthocarpa,62,1,Campomanesia
312,Cannabis sativa ssp. Spontanea,23,1,Cannabis
313,Carduus pycnocephalus,15,1,Carduus
314,Carica papaya,24,1,Carica
315,Carum carvi,11,1,Carum
316,Carum copticum,11,1,Carum
317,Carum graecum,11,1,Carum
318,Caryopteris odorata (D. Don),47,1,Caryopteris
319,Cassinia laevis,15,1,Cassinia
320,Cassinia quinquefaria,15,1,Cassinia
321,Cassytha filiformis,48,1,Cassytha
322,Cassytha pubescens,48,1,Cassytha
323,Cayratia japonica,98,1,Cayratia
324,Cedrela odorata,55,2,Cedrela
325,Cedrus libani,71,1,Cedrus
326,Cedrus liobani,71,1,Cedrus
327,Centaurea aphrodisea,15,1,Centaurea
328,Centaurea athoa,15,1,Centaurea
329,Centaurea calcitrapa,15,1,Centaurea
330,Centaurea depressa,15,1,Centaurea
331,Centaurea hyalolepis,15,1,Centaurea
332,Centaurea iberica,15,1,Centaurea
333,Centaurea luschaniana,15,1,Centaurea
334,Centaurea paniculata,15,1,Centaurea
335,Centaurea polyclada,15,1,Centaurea
336,Centaurea solstitialis,15,1,Centaurea
337,Centaurea tossiensis,15,1,Centaurea
338,Centaurea wagenitzii,15,1,Centaurea
339,Centaurea zuvandica,15,1,Centaurea
340,Centaurium erythraea,38,1,Centaurium
341,Centratherum punctatum,15,1,Centratherum
342,Centurea rupestris,15,1,Centurea
343,Cerastium candidissimum,25,1,Cerastium
344,Chaerophyllum crinitum,11,1,Chaerophyllum
345,Chaerophyllum macropodum,11,1,Chaerophyllum
346,Chaerophyllum macrospermum,11,1,Chaerophyllum
347,Chaerophyllum prescottii,11,1,Chaerophyllum
348,Chamaecyparis lawsoniana,32,1,Chamaecyparis
349,Chamaemelum nobile,15,1,Chamaemelum
350,Chamomilla recutita,15,1,Chamomilla
351,Chamomilla recutita (L.),15,1,Chamomilla
352,Chenopodium ambrosioides,4,1,Chenopodium
353,Chrysanthemum viscidehirtum,15,1,Chrysanthemum
354,Chrysopogon aucheri,75,1,Chrysopogon
355,Chrysothamnus nauseousus var. glabratus,15,1,Chrysothamnus
356,Chrysothamnus pulchellus,15,1,Chrysothamnus
357,Chukrasia tabularis,55,1,Chukrasia
358,Cicer arietinum,37,1,Cicer
359,Cinammoum verum,48,1,Cinammoum
