pid	synonyms
58	Aframomum stipulatum
58	Amomum alboviolaceum
58	Amomum bitacoum
58	Amomum latifolium
58	Amomum macrospermum
58	Amomum stipulatum
58	Cardamomum latifolium
58	Ceratanthera beaumetzii
59	Agastache anethiodora
59	Agastache foeniculum bernardii
59	Agastache foeniculum candicans
59	Hyptis marathrosma
59	Hyssopus anethiodorus
59	Hyssopus anisatus
59	Hyssopus discolor
59	Hyssopus foeniculum
59	Lophanthus anisatus
59	Lophanthus foeniculum
59	Perilla marathrosma
59	Stachys foeniculum
59	Vleckia albescens
59	Vleckia anethiodora
59	Vleckia anisata
59	Vleckia bracteata
59	Vleckia bracteosa
59	Vleckia discolor
59	Vleckia foeniculum
59	Vleckia incarnata
62	Ageratum conyzoides
62	Eupatorium atriplicifolium
62	Eupatorium corymbosum
62	Eupatorium repandum
62	Eupatorium triangulare
62	Osmia corymbosa
62	Osmia repanda
64	Bulga chamaecistus
65	Ajuga chamaepitys
65	Ajuga chamaepitys chia
65	Ajuga chamaepitys ciliata
65	Ajuga chamaepitys ciliata
65	Ajuga chamaepitys glabra
65	Ajuga chamaepitys hirta
65	Ajuga chamaepitys hirta
65	Ajuga chamaepitys media
65	Ajuga chia
65	Ajuga chia intermedia
65	Ajuga comata
65	Ajuga glabra
65	Ajuga grandiflora ciliata
65	Ajuga intermedia
65	Ajuga pseudochia
65	Chamaepitys chia
65	Chamaepitys glabra
65	Teucrium chium
65	Teucrium pseudochamaepitys
66	Ajuga chamaepitys
66	Ajuga chamaepitys chia
66	Ajuga chamaepitys ciliata
66	Ajuga chamaepitys ciliata
66	Ajuga chamaepitys glabra
66	Ajuga chamaepitys hirta
66	Ajuga chamaepitys hirta
66	Ajuga chamaepitys media
66	Ajuga chia
66	Ajuga chia intermedia
66	Ajuga comata
66	Ajuga glabra
66	Ajuga grandiflora ciliata
66	Ajuga intermedia
66	Ajuga pseudochia
66	Chamaepitys chia
66	Chamaepitys glabra
66	Teucrium chium
66	Teucrium pseudochamaepitys
67	Alchemilla alpina
69	Allamanda brasiliensis
69	Allamanda cathartica
69	Allamanda cathartica schottii
69	Allamanda magnifica
69	Allamanda neriifolia
70	Allium bouddae
70	Allium fistulosum caespitosum
70	Allium fistulosum giganteum
70	Allium kashgaricum
70	Cepa fissilis
70	Cepa fistulosa
70	Cepa ventricosa
70	Kepa fistulosa
70	Phyllodolon fistulosum
70	Porrum fistulosum
72	
73	Alococarpum erianthum
73	Cachrys eriantha
73	Pycnocycla macrocarpa
74	Aloysia famatinensis
74	Aloysia floribunda
74	Aloysia gratissima macrophylla
74	Aloysia gratissima paraguariensis
74	Aloysia ligustrina paraguariensis
74	Aloysia ligustrina schulziae
74	Aloysia lycioides
74	Aloysia lycioides paraguariensis
74	Aloysia lycioides schulziae
74	Aloysia mizquensis
74	Lantana virgata
74	Lippia gratissima
74	Lippia gratissima schulziae
74	Lippia ligustrina lasiodonta
74	Lippia ligustrina paraguariensis
74	Lippia ligustrina schulziae
74	Lippia lycioides
74	Verbena gratissima
74	Verbena integerrima
75	Aloysia sleumeri
75	Aloysia triphylla
75	Aloysia triphylla serrulata
75	Lippia citrodora
75	Lippia triphylla
75	Verbena citrodora
75	Verbena fragrans
75	Verbena triphylla
75	Zappania citrodora
76	Alpinia alata
76	Alpinia bracteata
76	Alpinia calcarata compacta
76	Alpinia cernua
76	Alpinia erecta
76	Alpinia roscoeana
76	Alpinia simsii
76	Alpinia spicata
76	Catimbium erectum
76	Globba erecta
76	Languas calcarata
76	Renealmia calcarata
76	Renealmia erecta
76	Renealmia minor
77	Alpinia alba
77	Alpinia bifida
77	Alpinia carnea
77	Alpinia galanga pyramidata
77	Alpinia pyramidata
77	Alpinia rheedei
77	Alpinia viridiflora
77	Amomum galanga
77	Amomum medium
77	Galanga major
77	Galanga officinalis
77	Hellenia alba
77	Heritiera alba
77	Languas galanga
77	Languas pyramidata
77	Languas vulgare
77	Maranta galanga
77	Zingiber galanga
77	Zingiber medium
77	Zingiber sylvestre
78	Alpinia humilis
78	Alpinia laosensis
78	Alpinia sumatrana
78	Languas conchigera
78	Languas sumatrana
78	Strobidia conchigera
78	Strobidia oligosperma
78	Strobidia sumatrana
79	Alpinia nutans sericea
79	Buekia malaccensis
79	Catimbium malaccense
79	Languas malaccensis
79	Maranta malaccensis
80	Alpinia engleriana
80	Alpinia nutans
80	Alpinia rechingeri
80	Guillainia rechingeri
81	Alpinia grandis
81	Alpinia purpurata albobracteata
81	Alpinia purpurata anomala
81	Alpinia purpurata grandis
81	Guillainia novo-ebudica
81	Guillainia purpurata
81	Languas purpurata
82	Alpinia grandis
82	Alpinia purpurata albobracteata
82	Alpinia purpurata anomala
82	Alpinia purpurata grandis
82	Guillainia novo-ebudica
82	Guillainia purpurata
82	Languas purpurata
83	Alpinia grandis
83	Alpinia purpurata albobracteata
83	Alpinia purpurata anomala
83	Alpinia purpurata grandis
83	Guillainia novo-ebudica
83	Guillainia purpurata
83	Languas purpurata
84	Alpinia cristata
84	Alpinia fimbriata
84	Alpinia fluvitialis
84	Alpinia nutans longiramosa
84	Alpinia penicillata
84	Alpinia schumanniana
84	Alpinia speciosa
84	Alpinia speciosa longiramosa
84	Amomum nutans
84	Catimbium speciosum
84	Costus zerumbet
84	Languas schumanniana
84	Languas speciosa
84	Renealmia nutans
84	Renealmia spectabilis
84	Zerumbet speciosum
85	Iva monophylla
86	Ambrosia californica
86	
87	Ambrosia hispida
87	Ambrosia lindheimeriana
87	Ambrosia peruviana
87	Ambrosia psilostachya californica
87	Ambrosia psilostachya lindheimeriana
87	Ambrosia rugelii
89	Ptychotis atlantica
90	Ammoides pusilla trachysperma
90	Ammoides verticillata
90	Apium ammios
90	Bunium ammoides
90	Carum ammoides
90	Critamus ammoides
90	Petroselinum ammoides
90	Ptychotis ammoides
90	Ptychotis aspera
90	Ptychotis morisiana
90	Ptychotis trachysperma
90	Ptychotis verticillata
90	Seseli ammoides
90	Seseli corsicum
90	Seseli pusillum
90	Seseli turbith
90	Seseli verticillatum
90	Sium verticillatum
90	Ammoides pusilla trachysperma
90	Ammoides verticillata
90	Apium ammios
90	Bunium ammoides
90	Carum ammoides
90	Critamus ammoides
90	Petroselinum ammoides
90	Ptychotis ammoides
90	Ptychotis aspera
90	Ptychotis morisiana
90	Ptychotis trachysperma
90	Ptychotis verticillata
90	Seseli ammoides
90	Seseli corsicum
90	Seseli pusillum
90	Seseli turbith
90	Seseli verticillatum
90	Sium verticillatum
91	Cardamomum subulatum
92	Aglaia aphanamixis
92	Aglaia beddomei
92	Aglaia cochinchinensis
92	Aglaia gigantea
92	Aglaia janowskyi
92	Aglaia polystachya
92	Alliaria cuneata
92	Amoora amboinensis
92	Amoora aphanamixis
92	Amoora beddomei
92	Amoora cumingiana
92	Amoora elmeri
92	Amoora gigantea
92	Amoora grandifolia
92	Amoora janowskyi
92	Amoora macrophylla
92	Amoora myrmecophila
92	Amoora perrottetiana
92	Amoora polillensis
92	Amoora polystachya
92	Amoora rohituka
92	Amoora sogerensis
92	Amoora timorensis
92	Andersonia rohituka
92	Aphanamixis agusanensis
92	Aphanamixis apoensis
92	Aphanamixis blumei
92	Aphanamixis cochinchinensis
92	Aphanamixis coriacea
92	Aphanamixis davaoensis
92	Aphanamixis elmeri
92	Aphanamixis grandifolia
92	Aphanamixis lauterbachii
92	Aphanamixis macrocalyx
92	Aphanamixis obliquifolia
92	Aphanamixis perrottetiana
92	Aphanamixis pinatubensis
92	Aphanamixis polillensis
92	Aphanamixis rohituka
92	Aphanamixis schlechteri
92	Aphanamixis sinensis
92	Aphanamixis timorensis
92	Aphanamixis tripetala
92	Aphanamixis velutina
92	Aphanomixis amboinensis
92	Aphanomixis cumingiana
92	Aphanomixis myrmecophila
92	Buchanania spicata
92	Chuniodendron spicatum
92	Chuniodendron yunnanense
92	Dysoxylum cuneatum
92	Dysoxylum spiciflorum
92	Guarea amaris
92	Meliacea wightiana
92	Piper hyalinum
92	Ricinocarpodendron cumingianum
92	Ricinocarpodendron polystachyum
92	Sphaerosacme polystachya
92	Sphaerosacme rohituka
92	Sphaerosacme spicata
92	Trichilia tripetala
94	Anacardium humile
94	Anacardium humile
94	Anacardium mediterraneum
94	Anacardium pumilum
94	Monodynamus humilis
95	Anaphalis contorta pellucida
95	Anaphalis falconeri
95	Anaphalis franchetiana
95	Antennaria contorta
95	Antennaria tenella
95	Gnaphalium contortum
95	Gnaphalium pellucidum
95	Gnaphalium simplicicaule
95	Gnaphalium tenellum
96	Anemia anthriscifolia
96	Anemia anthriscifolia nana
96	Anemia fulva cavanillesii
96	Anemia fulva decomposita
96	Hemianemia anthriscifolia
96	Hemianemia anthriscifolia nana
97	Anethum arvense
97	Anethum involucratum
97	Angelica graveolens
97	Carum graveolens
97	Celeri graveolens
97	Ferula graveolens
97	Heracleum graveolens
97	Pastinaca anethum
97	Pastinaca graveolens
97	Peucedanum anethum
97	Peucedanum graveolens
97	Peucedanum graveolens
97	Peucedanum sowa
97	Selinum anethum
97	Selinum graveolens
97	Sium apium
97	Sium graveolens
97	Anethum arvense
97	Anethum involucratum
97	Angelica graveolens
97	Carum graveolens
97	Celeri graveolens
97	Ferula graveolens
97	Heracleum graveolens
97	Pastinaca anethum
97	Pastinaca graveolens
97	Peucedanum anethum
97	Peucedanum graveolens
97	Peucedanum graveolens
97	Peucedanum sowa
97	Selinum anethum
97	Selinum graveolens
97	Sium apium
97	Sium graveolens
98	Anethum arvense
98	Anethum involucratum
98	Angelica graveolens
98	Carum graveolens
98	Celeri graveolens
98	Ferula graveolens
98	Heracleum graveolens
98	Pastinaca anethum
98	Pastinaca graveolens
98	Peucedanum anethum
98	Peucedanum graveolens
98	Peucedanum graveolens
98	Peucedanum sowa
98	Selinum anethum
98	Selinum graveolens
98	Sium apium
98	Sium graveolens
98	Anethum arvense
98	Anethum involucratum
98	Angelica graveolens
98	Carum graveolens
98	Celeri graveolens
98	Ferula graveolens
98	Heracleum graveolens
98	Pastinaca anethum
98	Pastinaca graveolens
98	Peucedanum anethum
98	Peucedanum graveolens
98	Peucedanum graveolens
98	Peucedanum sowa
98	Selinum anethum
98	Selinum graveolens
98	Sium apium
98	Sium graveolens
99	Anethum arvense
99	Anethum involucratum
99	Angelica graveolens
99	Carum graveolens
99	Celeri graveolens
99	Ferula graveolens
99	Heracleum graveolens
99	Pastinaca anethum
99	Pastinaca graveolens
99	Peucedanum anethum
99	Peucedanum graveolens
99	Peucedanum graveolens
99	Peucedanum sowa
99	Selinum anethum
99	Selinum graveolens
99	Sium apium
99	Sium graveolens
100	Anethum arvense
100	Anethum involucratum
100	Angelica graveolens
100	Carum graveolens
100	Celeri graveolens
100	Ferula graveolens
100	Heracleum graveolens
100	Pastinaca anethum
100	Pastinaca graveolens
100	Peucedanum anethum
100	Peucedanum graveolens
100	Peucedanum graveolens
100	Peucedanum sowa
100	Selinum anethum
100	Selinum graveolens
100	Sium apium
100	Sium graveolens
101	Apium ternatum
101	Ligusticum acutilobum
101	Sium triternatum
102	
104	
105	Annona asiatica
105	Annona cinerea
105	Annona forskahlii
105	Annona glabra
105	Guanabanus squamosus
105	Xylopia frutescens
105	Xylopia glabra
105	Xylopicron glabrum
106	Annona marcgravii
106	Annona montana marcgravii
106	Annona pisonis
106	Annona sphaerocarpa
108	Anthemis altissima
108	Anthemis guicciardii
108	Anthemis muenteriana
108	Anthemis tomentosa
108	Anthemis tomentosa discoidea
108	Anthemis urvillaeana
109	Anthemis alpina
109	Anthemis carpatica
109	Anthemis carpatica balcanica
109	Anthemis carpatica macedonia
109	Anthemis carpatica nigra
109	Anthemis carpatica puberula
109	Anthemis carpatica pumila
109	Anthemis carpatica styriaca
109	Anthemis carpatica subcinerea
109	Anthemis carpatica subscaposa
109	Anthemis cretica carpatica
109	Anthemis grandiflora
109	Anthemis graveolens
109	Anthemis kitaibelii
109	Anthemis montana
109	Anthemis montana balcanica
109	Anthemis mucronulata
109	Anthemis orientalis carpatica
109	Anthemis styriaca
109	Anthemis subcinerea
109	Anthemis subscaposa
110	
111	
112	
113	
114	
115	Anthemis montana
118	Anacyclus triumfetti
118	Anthemis caucasica
118	Anthemis cossoniana
118	Anthemis dumetorum
118	Anthemis khorasanica
118	Anthemis nigricans
118	Anthemis palumboi
118	Anthemis platyglossa
118	Anthemis rigescens
118	Anthemis tinctoria flosculosa
118	Anthemis tinctoria triumfettii
118	Anthemis triumfettii
118	Anthemis triumfettii aligulata
118	Anthemis triumfettii cossoniana
118	Anthemis triumfettii decumbens
118	Anthemis triumfettii flosculosa
118	Anthemis triumfettii khorasanica
118	Anthemis triumfettii vitellina
118	Anthemis woronowii
118	Chamaemelum triumfettii
118	Cota aligulatae
118	Cota dumetorum
118	Cota macrantha vitellina
118	Cota rigescens
118	Cota woronowii
119	Anthocleista auriculata
119	Anthocleista bequaerti
119	Anthocleista buchneri
119	Anthocleista kalbreyeri
119	Anthocleista lanceolata
119	Anthocleista macrantha
119	Anthocleista talbotii
119	Anthocleista zenkeri
120	Anthriscus cerefolium longirostris
120	Anthriscus chaerophyllus
120	Anthriscus longirostris
120	Anthriscus sativa
120	Anthriscus trachysperma
120	Anthriscus trichosperma
120	Cerefolium cerefolium
120	Cerefolium sativum
120	Cerefolium sylvestre
120	Cerefolium trichospermum
120	Chaerefolium cerefolium
120	Chaerophyllum cerefolium
120	Chaerophyllum nemorosum
120	Chaerophyllum sativum
120	Scandix cerefolium
120	Scandix tenuifolia
120	Scandix trichosperma
120	Selinum cerefolium
123	Apium celleri
123	Apium decumbens
123	Apium graveolens bashmensis
123	Apium graveolens butronensis
123	Apium graveolens butronensis
123	Apium graveolens lusitanicum
123	Apium graveolens rapaceum
123	Apium graveolens rapaceum
123	Apium integrilobum
123	Apium lobatum
123	Apium lusitanicum
123	Apium maritimum
123	Apium napaceum
123	Apium rapaceum
123	Apium vulgare
123	Carum graveolens
123	Celeri graveolens
123	Helosciadium ruta
123	Helosciadium rutaceum
123	Selinum graveolens
123	Seseli graveolens
123	Sison ruta
123	Sison trifidum
123	Sium apium
123	Sium graveolens
123	Smyrnium laterale
124	Agallochum malaccense
124	Agallochum officinarum
124	Aloexylum agallochum
124	Aloexylum verum
124	Aquilaria agallochum
124	Aquilaria moluccensis
124	Aquilaria ovata
124	Aquilaria secundaria
124	Aquilariella malaccensis
125	Arabidopsis thaliana apetala
125	Arabidopsis thaliana brachycarpa
125	Arabidopsis thaliana genuina
125	Arabidopsis thaliana thaliana
125	Arabis pubicalyx
125	Arabis thaliana
