pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
40	Achillea tenuifolia	Achillea tenuifolia Lam.	Achillea tenuifolia	Lam.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea tenuifolia		#N/A
41	Achillea vermicularis	Achillea vermicularis Trin.	Achillea vermicularis	Trin.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea	Achillea vermicularis		#N/A
42	Acinos hungaricus	Acinos hungaricus (Simonk.)	Acinos hungaricus	(Simonk.)	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium alpinum		Clinopodium alpinum GBIF 2685484
43	Acinos suaveolens	Acinos suaveolens (Sm.) G.Don	Acinos suaveolens	(Sm.) G.Don	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium suaveolens		Clinopodium suaveolens GBIF 2685484
44	Actinidia chinensis	Actinidia chinensis Planch.	Actinidia chinensis		2	1	Typographical error - Actinidia is the correct spelling	Plantae	Tracheophyta	Magnoliopsida	Ericales	Actinidiaceae	Actinidia	Actinidia chinensis		#N/A
45	Acorus calamus	Acorus calamus L.	Acorus calamus	L.	1	1		Plantae	Tracheophyta	Liliopsida	Acorales	Acoraceae	Acorus	Acorus calamus		#N/A
46	Acorus calamusÂ L	Acorus calamus L.	Acorus calamus	L.	13	1	"This entry is same as the previous; the mentioned pfids were different. It was previously placed in the family Araceae. But, now, it is under Acoraceae. 13 is the wrong pfid."	Plantae	Tracheophyta	Liliopsida	Acorales	Acoraceae	Acorus	Acorus calamus		#N/A
47	Aeollanthus myrianthus	Aeollanthus myrianthus Baker	Aeollanthus myrianthus	Baker	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Aeollanthus	Aeollanthus myrianthus		#N/A
48	Aeollanthus parvifolius	Aeollanthus parvifolius Benth.	Aeollanthus parvifolius	Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Aeollanthus	Aeollanthus parvifolius		#N/A
49	Aeollanthus pubescens	Aeollanthus pubescens Benth.	Aeollanthus pubescens	Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Aeollanthus	Aeollanthus pubescens		#N/A
50	Aeollanthus suaveolens	Aeollanthus suaveolens Mart. ex Spreng.	Aeollanthus suaveolens	Mart. ex Spreng.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Aeollanthus	Aeollanthus suaveolens		#N/A
51	Aframomum citratum	Aframomum citratum K.Schum.	Aframomum citratum	K.Schum.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum citratum		#N/A
52	Aframomum corrorima	Aframomum corrorima (Braun) P.C.M.Jansen	Aframomum corrorima	(Braun) P.C.M.Jansen	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum corrorima		#N/A
53	Aframomum exscapum	Aframomum exscapum (Sims) Hepper	Aframomum exscapum	(Sims) Hepper	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum exscapum		#N/A
54	Aframomum hanburyl	Aframomum hanburyi K.Schum.	Aframomum hanburyi	K.Schum.	101	1	Typographical error in specific epithet	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum angustifolium		Aframomum angustifolium GBIF 2685484
55	Aframomum letestuanum	Aframomum letestuanum Gagnep.	Aframomum letestuanum	Gagnep.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum letestuanum		#N/A
56	Aframomum melegueta	Aframomum melegueta K.Schum.	Aframomum melegueta	K.Schum.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum melegueta		#N/A
57	Aframomum pruinosum	Aframomum pruinosum Gagnep.	Aframomum pruinosum	Gagnep.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum pruinosum		#N/A
58	Aframomum stipulatum	Aframomum stipulatum (Gagnep.) K.Schum.	Aframomum stipulatum	(Gagnep.) K.Schum.	62	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum alboviolaceum		Aframomum alboviolaceum GBIF 2685484
59	Agastache foeniculum	Agastache foeniculum Kuntze	Agastache foeniculum	Kuntze	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Agastache	Agastache foeniculum		#N/A
60	Agastache scrophulariaefolia	Agastache scrophulariaefolius	Agastache scrophulariaefolius		47	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Agastache	Agastache scrophulariaefolius		#N/A
61	Agerantina havanensis	Ageratina havanensis (Kunth) R.M.King & H.Rob.	Ageratina havanensis	(Kunth) R.M.King & H.Rob.	15	1	Typographical Error	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Trixis	Trixis inula		Trixis inula GBIF 2685484
62	Ageratum Conyzoides	Ageratum conyzoides L.	Ageratum conyzoides	L.	15	2		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ageratum	Ageratum conyzoides		#N/A
63	Ajuga austro-iranica	Ajuga austroiranica Rech.f.	Ajuga austro-iranica	Rech.f.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga austroiranica		#N/A
64	Ajuga chamaecistus	Ajuga chamaecistus Ging. ex Benth.	Ajuga chamaecistus	Ging. ex Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga chamaecistus		#N/A
65	Ajuga chamaepitys	Ajuga chamaepitys (L.) Schreb.	Ajuga chamaepitys	(L.) Schreb.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga chamaepitys		#N/A
66	Ajuga chamaepitys ssp. chamaepitys	Ajuga chamaepitys subsp. chamaepitys	Ajuga chamaepitys 	(subsp. Chamaepitys)	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga chamaepitys		#N/A
67	Alchemilla alpina	Alchemilla alpina L.	Alchemilla alpina	L.	82	1		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	Alchemilla alpina		#N/A
68	Alkanna orientalis	Alkanna orientalis Boiss.	Alkanna orientalis	Boiss.	19	1		Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Alkanna	Alkanna orientalis		#N/A
69	Allamanda cathartica	Allamanda cathartica L.	Allamanda cathartica	L.	12	1		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Allamanda	Allamanda cathartica		#N/A
