pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
916	Lepechinia graveolens	Lepechinia graveolens (Regel) Epling	Lepechinia graveolens	(Regel) Epling	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lepechinia	Lepechinia graveolens		#N/A
917	Lepechinia meyeni	Lepechinia meyenii (Walp.) Epling	Lepechinia meyenii	(Walp.) Epling	47	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lepechinia	Lepechinia meyenii		#N/A
918	Lepechinia paniculata	Lepechinia paniculata (Kunth) Epling	Lepechinia paniculata	(Kunth) Epling	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lepechinia	Lepechinia paniculata		#N/A
919	Leptocarpha rivularis	Leptocarpha rivularis DC.	Leptocarpha rivularis	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Leptocarpha	Leptocarpha rivularis		#N/A
920	Leptospermum citratum sp. Nov.	Leptospermum citratum (J.F.Bailey & C.T.White) Challinor	Leptospermum citratum	(J.F.Bailey & C.T.White) Challinor	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	Leptospermum petersonii		Leptospermum petersonii GBIF 2685484
921	Leptospermum coriaceum	Leptospermum coriaceum Cheel	Leptospermum coriaceum	Cheel	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	Leptospermum coriaceum		#N/A
922	Leptospermum fastigiatum	Leptospermum fastigiatum S.Moore	Leptospermum fastigiatum	S.Moore	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	Leptospermum fastigiatum		#N/A
923	Leptospermum liversidgeii	Leptospermum liversidgei R.T.Baker & H.G.Sm.	Leptospermum liversidgei	R.T.Baker & H.G.Sm.	62	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	Leptospermum liversidgei		#N/A
924	Leptospermum nitens	Leptospermum nitens Turcz.	Leptospermum nitens	Turcz.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Leptospermum	Leptospermum nitens		#N/A
925	Leutea elbursensis	Leutea elbursensis Mozaff.	Leutea elbursensis	Mozaff.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ferula	Ferula elbursensis		Ferula elbursensis GBIF 2685484
926	Levisticum officinale	Levisticum officinale W.D.J.Koch	Levisticum officinale	W.D.J.Koch	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Levisticum	Levisticum officinale		#N/A
927	Licaria puchury-major	Licaria puchury-major (Mart.) Kosterm.	Licaria puchury-major	(Mart.) Kosterm.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Licaria	Licaria puchury-major		#N/A
928	Licaria salicifolia	Licaria salicifolia (Sw.) Kosterm.	Licaria salicifolia	(Sw.) Kosterm.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Licaria	Licaria parvifolia		Licaria parvifolia GBIF 2685484
929	Licaria triandra (Sw.) Kosterm.	Licaria triandra (Sw.) Kosterm.	Licaria triandra	(Sw.) Kosterm.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Licaria	Licaria triandra		#N/A
930	Ligusticum mutellina	Ligusticum mutellina (L.) Crantz	Ligusticum mutellina	(L.) Crantz	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Mutellina	Mutellina purpurea		Mutellina purpurea GBIF 2685484
931	Limnophila chinensis	Limnophila chinensis Merr.	Limnophila chinensis	Merr.	74	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Limnophila	Limnophila chinensis		#N/A
932	Lindera strychnifolia	Lindera strychnifolia (Sieb. & Zucc.) Fern.-Vill	Lindera strychnifolia	(Sieb. & Zucc.) Fern.-Vill	48	1	Changes made according to the journal article	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Lindera	Lindera aggregata		#N/A
933	Lippia alba	Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson	Lippia alba	(Mill.) N.E.Br. ex Britton & P.Wilson	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia	Lippia alba		#N/A
934	Lippia alnifolia	Lippia alnifolia Schauer	Lippia alnifolia	Schauer	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia	Lippia alnifolia		#N/A
935	Lippia gracillis	Lippia gracilis Schauer	Lippia gracilis	Schauer	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia	Lippia grata		#N/A
936	Lippia graveolens	Lippia graveolens Kunth	Lippia graveolens	Kunth	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia	Lippia origanoides		Lippia origanoides GBIF 2685484
937	Lippia javanica	Lippia javanica Spreng.	Lippia javanica	Spreng.	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia	Lippia javanica		#N/A
938	Lippia sidoides	Lippia sidoides Cham.	Lippia sidoides	Cham.	97	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia	Lippia origanoides		Lippia origanoides GBIF 2685484
939	Lithraea ternifolia	Lithraea ternifolia (Gillies ex Hook.) F.A.Barkley	Lithraea ternifolia	(Gillies ex Hook.) F.A.Barkley	6	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Lithraea	Lithraea molleoides		Lithraea molleoides GBIF 2685484
940	Litsea cubeba	Litsea cubeba Pers.	Litsea cubeba	Pers.	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Litsea	Litsea cubeba		#N/A
941	Lomatium brandegei	Lomatium brandegeei J.F.Macbr.	Lomatium brandegeei	J.F.Macbr.	11	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium brandegeei		#N/A
942	Lomatium dissectum	Lomatium dissectum (Nutt. ex Torr. & A.Gray) Mathias & Constance	Lomatium dissectum	(Nutt. ex Torr. & A.Gray) Mathias & Constance	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Cynapium	Cynapium apiifolium		Cynapium apiifolium GBIF 2685484
943	Lomatium eastwoodiae	Lomatium eastwoodiae (J.M.Coult. & Rose) J.F.Macbr.	Lomatium eastwoodiae	(J.M.Coult. & Rose) J.F.Macbr.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium eastwoodiae		#N/A
944	Lomatium foeniculaceum ssp. fimbriatum	Lomatium foeniculaceum subsp. fimbriatum W.L.Theob.	Lomatium foeniculaceum 	subsp. fimbriatum	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium foeniculaceum		#N/A
945	Lomatium graveolens	Lomatium graveolens (S.Watson) Dorn & R.L.Hartm.	Lomatium graveolens	(S.Watson) Dorn & R.L.Hartm.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anethum	Anethum graveolens		Anethum graveolens GBIF 2685484
946	Lomatium grayi	Lomatium grayi J.M.Coult. & Rose	Lomatium grayi	J.M.Coult. & Rose	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium grayi		#N/A
947	Lomatium grayi var. depauperatum	Lomatium grayi var. depauperatum (M.E.Jones) Mathias	Lomatium grayi	var. depauperatum (M.E.Jones) Mathias	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium grayi		#N/A
948	Lomatium grayi var. grayi	Lomatium grayi var. grayi	Lomatium grayi 	var. grayi	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium grayi		#N/A
949	Lomatium howelii	Lomatium howellii (S.Watson) Jeps.	Lomatium howellii	(S.Watson) Jeps.	11	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium howellii		#N/A
950	Lomatium juncem	Lomatium junceum Barneby & N.H.Holmgren	Lomatium junceum	Barneby & N.H.Holmgren	11	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium junceum		#N/A
951	Lomatium nevadense	Lomatium nevadense J.M.Coult. & Rose	Lomatium nevadense	J.M.Coult. & Rose	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium nevadense		#N/A
952	Lomatium parryl	Lomatium parryi J.F.Macbr.	Lomatium parryi	J.F.Macbr.	11	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium parryi		#N/A
953	Lomatium rigidum	Lomatium rigidum (M.E.Jones) Jeps.	Lomatium rigidum	(M.E.Jones) Jeps.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium rigidum		#N/A
954	Lomatium torreyi	Lomatium torreyi J.M.Coult. & Rose	Lomatium torreyi	J.M.Coult. & Rose	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Lomatium	Lomatium torreyi		#N/A
955	Lomatopodium khorassanicum	Lomatopodium Fisch. & C.A.Mey.	Lomatopodium khorassanicum	unresolved	11	1	Entry not found in any database	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Seseli			 GBIF 2685484
956	Luma chequen	Luma chequen (Molina) A.Gray	Luma chequen	(Molina) A.Gray	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Luma	Luma chequen		#N/A
957	Lychnophora pinaster	Lychnophora pinaster Mart.	Lychnophora pinaster	Mart.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Lychnophora	Lychnophora pinaster		#N/A
958	Lycopus australis	Lycopus australis R.Br.	Lycopus australis	R.Br.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lycopus	Lycopus australis		#N/A
959	Maclura pomifera	Maclura pomifera (Raf.) C.K.Schneid.	Maclura pomifera	(Raf.) C.K.Schneid.	56	1		Plantae	Tracheophyta	Magnoliopsida	Rosales	Moraceae	Maclura	Maclura pomifera		#N/A
960	Mahonia japonica	"Mahonia japonica Thunb., 1784"	Mahonia japonica	"Thunb., 1784"	17	1		Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Berberidaceae	Berberis	Berberis japonica		Berberis japonica GBIF 2685484
961	Malabaila aurea	Malabaila aurea (Sm.) Boiss.	Malabaila aurea	(Sm.) Boiss.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Leiotulus	Leiotulus aureus		Leiotulus aureus GBIF 2685484
962	Malus domestica	Malus domestica Borkh.	Malus domestica	Borkh.	82	1		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Malus	Malus pumila		Malus pumila GBIF 2685484
963	Manilkara achras	Manilkara achras (Mill.) Fosberg	Manilkara achras	(Mill.) Fosberg	87	1		Plantae	Tracheophyta	Magnoliopsida	Ericales	Sapotaceae	Manilkara	Manilkara zapota		Manilkara zapota GBIF 2685484
964	Mantisalca duriaei	Mantisalca duriaei Briq. & Cavill.	Mantisalca duriaei	Briq. & Cavill.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mantisalca	Mantisalca duriaei		#N/A
965	Marchesinia mackaii	Marchesinia mackaii (Hook.) Gray	Marchesinia mackaii	(Hook.) Gray	50	1		Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae	Marchesinia	Marchesinia mackaii		#N/A
966	Margyricarpus pinnatus	Margyricarpus pinnatus Kuntze	Margyricarpus pinnatus	Kuntze	82	1		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Margyricarpus	Margyricarpus pinnatus		#N/A
967	Marlierea eugeniopsoides	Marlierea eugeniopsoides (Kaus. & C.D.Legrand) C.D.Legrand	Marlierea eugeniopsoides	(Kaus. & C.D.Legrand) C.D.Legrand	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcia	Myrcia eugeniopsoides		Myrcia eugeniopsoides GBIF 2685484
968	Marlierea obscura	Marlierea obscura Berg	Marlierea obscura	Berg	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcia	Myrcia neoobscura		Myrcia neoobscura GBIF 2685484
969	Marlierea silvatica	Marlierea sylvatica (Berg) Kiaersk.	Marlierea sylvatica	(Berg) Kiaersk.	62	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcia	Myrcia ferruginosa		Myrcia ferruginosa GBIF 2685484
970	Marlierea tomentosa	Marlierea tomentosa Cambess.	Marlierea tomentosa	Cambess.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcia	Myrcia neotomentosa		Myrcia neotomentosa GBIF 2685484
971	Marrubium anisodon	Marrubium anisodon K.Koch	Marrubium anisodon	K.Koch	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium anisodon		#N/A
972	Marrubium astracanicum	Marrubium astracanicum Jacq.	Marrubium astracanicum	Jacq.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium astracanicum		#N/A
973	Marrubium bourgaei ssp. caricum	Marrubium bourgaei subsp. caricum P.H.Davis	Marrubium bourgaei	subsp. caricum P.H.Davis	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium bourgaei		#N/A
974	Marrubium crassidens	Marrubium crassidens Boiss.	Marrubium crassidens	Boiss.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium crassidens		#N/A
975	Marrubium parviflorum	Marrubium parviflorum Fisch. & Mey.	Marrubium parviflorum	Fisch. & Mey.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium parviflorum		#N/A
976	Marrubium peregrinum	Marrubium peregrinum L.	Marrubium peregrinum	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium peregrinum		#N/A
977	Marrubium propinquum	Marrubium propinquum Fisch. & C.A.Mey.	Marrubium propinquum	Fisch. & C.A.Mey.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium propinquum		#N/A
978	Marrubium vulgare	Marrubium vulgare L.	Marrubium vulgare	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marrubium	Marrubium vulgare		#N/A
979	Marsypianthes chamaedrys	Marsypianthes chamaedrys Kuntze	Marsypianthes chamaedrys	Kuntze	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Marsypianthes	Marsypianthes chamaedrys		#N/A
980	Melaleuca alternifolia	Melaleuca alternifolia Cheel	Melaleuca alternifolia	Cheel	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca alternifolia		#N/A
981	Melaleuca alternifolia Cheel.	Melaleuca alternifolia Cheel	Melaleuca alternifolia	Cheel	62	1	Duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca alternifolia		#N/A
982	Melaleuca armillaris	Melaleuca armillaris Sm.	Melaleuca armillaris	Sm.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca armillaris		#N/A
983	Melaleuca atroviridis	Melaleuca atroviridis Craven & Lepschi	Melaleuca atroviridis	Craven & Lepschi	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca atroviridis		#N/A
984	Melaleuca bracteata	Melaleuca bracteata F.Muell.	Melaleuca bracteata	F.Muell.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca bracteata		#N/A
985	Melaleuca cajuputi	Melaleuca cajuputi Powell	Melaleuca cajuputi	Powell	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi		#N/A
986	Melaleuca concreta	Melaleuca concreta F.Muell.	Melaleuca concreta	F.Muell.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca concreta		#N/A
987	Melaleuca deanei	Melaleuca deanei F.Muell.	Melaleuca deanei	F.Muell.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca deanei		#N/A
988	Melaleuca decussata	Melaleuca decussata R.Br.	Melaleuca decussata	R.Br.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca decussata		#N/A
989	Melaleuca ericifolia	Melaleuca ericifolia Sm.	Melaleuca ericifolia	Sm.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca ericifolia		#N/A
990	Melaleuca exuvia	Melaleuca exuvia Craven & Lepschi	Melaleuca exuvia	Craven & Lepschi	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca exuvia		#N/A
991	Melaleuca hamata	Melaleuca hamata Fielding & Gardner	Melaleuca hamata	Fielding & Gardner	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca hamata		#N/A
992	Melaleuca interioris	Melaleuca interioris Craven & Lepschi	Melaleuca interioris	Craven & Lepschi	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca interioris		#N/A
993	Melaleuca leucadendra	Melaleuca leucadendra (L.) L.	Melaleuca leucadendra	(L.) L.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca leucadendra		#N/A
994	Melaleuca linarifolia	Melaleuca linariifolia Sm.	Melaleuca linariifolia	Sm.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca linariifolia		#N/A
995	Melaleuca minutifolia	Melaleuca minutifolia F.Muell.	Melaleuca minutifolia	F.Muell.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca minutifolia		#N/A
996	Melaleuca monantha	Melaleuca monantha (Barlow) Craven	Melaleuca monantha	(Barlow) Craven	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca monantha		#N/A
997	Melaleuca quinquenervia	Melaleuca quinquenervia (Cav.) S.T.Blake	Melaleuca quinquenervia	(Cav.) S.T.Blake	62	2	Same as 999; but different phid	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca quinquenervia		#N/A
998	Melaleuca quinquenervia (Cav.) S. T. Blake	Melaleuca quinquenervia (Cav.) S.T.Blake	Melaleuca quinquenervia	(Cav.) S.T.Blake	62	1	Duplicate entry	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca quinquenervia		#N/A
999	Melaleuca quinquenervia (Cav.) S.T. Blake	Melaleuca quinquenervia (Cav.) S.T.Blake	Melaleuca quinquenervia	(Cav.) S.T.Blake	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca quinquenervia		#N/A
1000	Melaleuca scalena	Melaleuca scalena Craven & Lepschi	Melaleuca scalena	Craven & Lepschi	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca scalena		#N/A
1001	Melaleuca squamophloia	Melaleuca squamophloia (Byrnes) Craven	Melaleuca squamophloia	(Byrnes) Craven	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca squamophloia		#N/A
1002	Melaleuca stereophloia	Melaleuca stereophloia Craven	Melaleuca stereophloia	Craven	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca stereophloia		#N/A
1003	Melaleuca styphelioides	Melaleuca styphelioides Sm.	Melaleuca styphelioides	Sm.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca styphelioides		#N/A
1004	Melaleuca sylvana	Melaleuca sylvana Craven & A.J.Ford	Melaleuca sylvana	Craven & A.J.Ford	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca sylvana		#N/A
1005	Melaleuca teretifolia	Melaleuca teretifolia Endl.	Melaleuca teretifolia	Endl.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca teretifolia		#N/A
1006	Melaleuca uncinata	Melaleuca uncinata R.Br.	Melaleuca uncinata	R.Br.	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca uncinata		#N/A
1007	Melaleuca uxorum	"Melaleuca uxorum Craven, G.Holmes & Sankowsky"	Melaleuca uxorum	"Craven, G.Holmes & Sankowsky"	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca uxorum		#N/A
1008	Melaleuca vinnula	Melaleuca vinnula Craven & Lepschi	Melaleuca vinnula	Craven & Lepschi	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca vinnula		#N/A
1009	Melaleuca viridiflora Soland	Melaleuca viridiflora Gaertn.	Melaleuca viridiflora	author unresolved	62	1		Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca viridiflora		#N/A
1010	Melaleuca zeteticoru	Melaleuca zeteticorum Craven & Lepschi	Melaleuca zeteticorum	Craven & Lepschi	62	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca zeteticorum		#N/A
1011	Melampodium camphoratum	Melampodium camphoratum Benth. & Hook.f.	Melampodium camphoratum	Benth. & Hook.f.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Melampodium	Melampodium camphoratum		#N/A
1012	Melicocca bijuga	Melicocca bijuga (Jacq.) L.	Melicocca bijuga	(Jacq.) L.	86	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Melicoccus	Melicoccus bijugatus		Melicoccus bijugatus GBIF 2685484
1013	Melinis minutiflora	Melinis minutiflora P.Beauv.	Melinis minutiflora	P.Beauv.	76	1		Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Melinis	Melinis minutiflora		#N/A
1014	Melissa officinalis	Melissa officinalis L.	Melissa officinalis	L.	47	1	"This entry is same as the next entry. The only difference was an additional ""L."" in the latter"	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Melissa	Melissa officinalis		#N/A
1015	Melissa officinalis L.	Melissa officinalis L.	Melissa officinalis	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Melissa	Melissa officinalis		#N/A
1016	Melissa romana	Melissa romana Mill.	Melissa romana	Mill.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Melissa	Melissa officinalis		Melissa officinalis GBIF 2685484
1017	Mentha Pulegium	Mentha pulegium L.	Mentha pulegium	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha pulegium		#N/A
1018	Mentha aff. arvensis	Mentha arvensis L.	Mentha aff. arvensis	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha arvensis		#N/A
1019	Mentha aff. rotundifolia	Mentha rotundifolia (L.) Huds.	Mentha aff. rotundifolia	(L.) Huds.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha rotundifolia		#N/A
1020	Mentha aquatica	Mentha aquatica L.	Mentha aquatica	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha aquatica		#N/A
1021	Mentha arvensis	Mentha arvensis L.	Mentha arvensis	L.	46	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha arvensis		#N/A
1022	Mentha arvensis f. piperascens	Mentha arvensis f. piperascens Malinv. ex Holmes	Mentha arvensis 	f. piperascens Malinv. ex Holmes	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha canadensis		#N/A
1023	Mentha canadensis	Mentha canadensis L.	Mentha canadensis	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha canadensis		#N/A
1024	Mentha citrata	Mentha citrata Ehrh.	Mentha citrata	Ehrh.	46	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha aquatica		Mentha aquatica GBIF 2685484
1025	Mentha gracilis	Mentha gracilis Sole	Mentha gracilis	Sole	47	1	Changes made	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha gentilis		#N/A
1026	Mentha grandiflora	Mentha grandiflora Benth.	Mentha grandiflora	Benth.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha grandiflora		#N/A
1027	Mentha longifolia	Mentha longifolia Huds.	Mentha longifolia	Huds.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia		#N/A
1028	Mentha longifolia :Mzin5	Mentha longifolia Huds.	Mentha longifolia	Huds. (Mzin5)	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia		#N/A
1029	Mentha longifolia :Mzin6	Mentha longifolia Huds.	Mentha longifolia	Huds. (Mzin6)	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia		#N/A
1030	Mentha longifolia ssp. schimperi	Mentha longifolia subsp. schimperi (Briq.) Briq.	Mentha longifolia 	subsp. schimperi (Briq.) Briq.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia		#N/A
1031	Mentha longifolia var. asiatica	Mentha longifolia Huds.	Mentha longifolia 	var. asiatica	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia		#N/A
1032	Mentha microphylla	Mentha microphylla K.Koch	Mentha microphylla	K.Koch	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata		Mentha spicata GBIF 2685484
1033	Mentha mozaffarianii	Mentha mozaffarianii Jamzad	Mentha mozaffarianii	Jamzad	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha mozaffarianii		#N/A
1034	Mentha piperita	Mentha piperita L.	Mentha piperita	L.	47	1		Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha piperita		#N/A
