occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Melaleuca alternifolia	Melaleuca alternifolia Cheel	5416091	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca alternifolia
	Melaleuca alternifolia Cheel.	Melaleuca alternifolia Cheel	5416091	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca alternifolia
	Melaleuca armillaris	Melaleuca armillaris Sm.	5415719	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca armillaris
	Melaleuca atroviridis	Melaleuca atroviridis Craven & Lepschi	5416088	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca atroviridis
	Melaleuca bracteata	Melaleuca bracteata F.Muell.	5416153	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca bracteata
	Melaleuca cajuputi	Melaleuca cajuputi Powell	5415885	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca cajuputi
	Melaleuca concreta	Melaleuca concreta F.Muell.	5416077	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca concreta
	Melaleuca deanei	Melaleuca deanei F.Muell.	5415774	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca deanei
	Melaleuca decussata	Melaleuca decussata R.Br.	5416180	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca decussata
	Melaleuca ericifolia	Melaleuca ericifolia Sm.	5415723	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca ericifolia
	Melaleuca exuvia	Melaleuca exuvia Craven & Lepschi	5416042	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca exuvia
	Melaleuca hamata	Melaleuca hamata Fielding & Gardner	5415770	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca hamata
	Melaleuca interioris	Melaleuca interioris Craven & Lepschi	5415726	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca interioris
	Melaleuca leucadendra	Melaleuca leucadendra (L.) L.	5415976	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca leucadendra
	Melaleuca linariifolia	Melaleuca linariifolia Sm.	5415842	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca linariifolia
	Melaleuca minutifolia	Melaleuca minutifolia F.Muell.	5415743	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca minutifolia
	Melaleuca monantha	Melaleuca monantha (Barlow) Craven	5416172	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca monantha
	Melaleuca quinquenervia	Melaleuca quinquenervia (Cav.) S.T.Blake	5415832	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca quinquenervia
	Melaleuca quinquenervia (Cav.) S. T. Blake	Melaleuca quinquenervia (Cav.) S.T.Blake	5415832	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca quinquenervia
	Melaleuca quinquenervia (Cav.) S.T. Blake	Melaleuca quinquenervia (Cav.) S.T.Blake	5415832	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca quinquenervia
	Melaleuca scalena	Melaleuca scalena Craven & Lepschi	5415987	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca scalena
	Melaleuca squamophloia	Melaleuca squamophloia (Byrnes) Craven	5415772	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca squamophloia
	Melaleuca stereophloia	Melaleuca stereophloia Craven	5416131	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca stereophloia
	Melaleuca styphelioides	Melaleuca styphelioides Sm.	5416005	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca styphelioides
	Melaleuca sylvana	Melaleuca sylvana Craven & A.J.Ford	5416101	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca sylvana
	Melaleuca teretifolia	Melaleuca teretifolia Endl.	5416122	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca teretifolia
	Melaleuca uncinata	Melaleuca uncinata R.Br.	5416071	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca uncinata
	Melaleuca uxorum	"Melaleuca uxorum Craven, G.Holmes & Sankowsky"	5416100	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca uxorum
	Melaleuca vinnula	Melaleuca vinnula Craven & Lepschi	5415939	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca vinnula
	Melaleuca viridiflora Soland	Melaleuca viridiflora Gaertn.	5416109	EXACT	88	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca viridiflora
	Melaleuca zeteticoru	Melaleuca zeteticorum Craven & Lepschi	5415931	FUZZY	96	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Melaleuca	Melaleuca zeteticorum
	Melampodium camphoratum	Melampodium camphoratum Benth. & Hook.f.	7872731	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Melampodium	Melampodium camphoratum
	Melicocca bijuga	Melicocca bijuga (Jacq.) L.	7264662	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Melicoccus	Melicoccus bijugatus
	Melinis minutiflora	Melinis minutiflora P.Beauv.	2702503	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Melinis	Melinis minutiflora
	Melissa officinalis	Melissa officinalis L.	5341501	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Melissa	Melissa officinalis
	Melissa officinalis L.	Melissa officinalis L.	5341501	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Melissa	Melissa officinalis
	Melissa romana	Melissa romana Mill.	5610822	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Melissa	Melissa officinalis
	Mentha pulegium	Mentha pulegium L.	2927189	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha pulegium
	Mentha aff. arvensis	Mentha arvensis L.	2927192	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha arvensis
	Mentha aff. rotundifolia	Mentha rotundifolia (L.) Huds.	8974899	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha rotundifolia
	Mentha aquatica	Mentha aquatica L.	2927208	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha aquatica
	Mentha arvensis	Mentha arvensis L.	2927192	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha arvensis
	Mentha arvensis	Mentha arvensis L.	2927192	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha arvensis
	Mentha canadensis	Mentha canadensis L.	2927198	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha canadensis
	Mentha citrata	Mentha citrata Ehrh.	2927209	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha aquatica
	Mentha gracilis	Mentha L.	2927173	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	
	Mentha grandiflora	Mentha grandiflora Benth.	3900471	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha grandiflora
	Mentha longifolia	Mentha longifolia Huds.	2927177	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia
	Mentha longifolia	Mentha longifolia Huds.	2927177	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia
	Mentha longifolia	Mentha longifolia Huds.	2927177	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia
	Mentha longifolia	Mentha longifolia Huds.	2927177	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia
	Mentha longifolia	Mentha longifolia Huds.	2927177	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha longifolia
	Mentha microphylla	Mentha microphylla K.Koch	7943438	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata
	Mentha mozaffarianii	Mentha mozaffarianii Jamzad	3898341	EXACT	98	DOUBTFUL	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha mozaffarianii
	Mentha piperita	Mentha piperita L.	8707933	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha piperita
	Mentha rotundifolia	Mentha rotundifolia (L.) Huds.	8974899	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha rotundifolia
	Mentha sachalinensis	Mentha sachalinensis (Briq.) KudÃ´	7308402	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha canadensis
	Mentha spicata	Mentha spicata L.	2927175	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata
	Mentha spicata	Mentha spicata L.	2927175	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata
	Mentha spicata	Mentha spicata L.	2927175	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata
	Mentha spicata	Mentha spicata L.	2927175	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata
	Mentha spicataï¿_L.	Mentha spicata L.	2927175	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha spicata
	Mentha spp.	Mentha L.	2927173	EXACT	85	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	
	Mentha x piperita	Mentha piperita L.	8707933	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	Mentha piperita
	Mentha ï¿_ piperita	Mentha L.	2927173	EXACT	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	
	Menthaï¿_longifoliaï¿_L.	Mentha L.	2927173	EXACT	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Mentha	
	Meriandra bengalensis	Meriandra bengalensis (J.Koenig ex Roxb.) Benth.	3893863	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Salvia	Salvia dianthera
	Messerschmidia sibirica	Messerschmidia sibirica (L.) L.	5341208	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Heliotropiaceae	Tournefortia	Tournefortia sibirica
	Meum athamanticum	Meum athamanticum Jacq.	6026490	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Meum	Meum athamanticum
	Microcitrus australasica	Microcitrus australasica (F.MÃ_ll.) Swingle	3190063	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Citrus	Citrus australasica
	Microglossa pyrrhopappa	Microglossa pyrrhopappa (A.Rich.) Agnew	5698296	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Microglossa	Microglossa pyrrhopappa
	Micromeria biflora	Micromeria biflora Benth.	7307212	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria biflora
	Micromeria cremnophila	Micromeria cremnophila Boiss. & Heldr.	7307179	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria cremnophila
	Micromeria cristata	Micromeria cristata (Hampe) Griseb.	7307169	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria cristata
	Micromeria cristata	Micromeria cristata (Hampe) Griseb.	7307169	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria cristata
	Micromeria dalmatica	Micromeria Benth.	2927114	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	
	Micromeria juliana	Micromeria juliana (L.) Benth. ex Rchb.	7774615	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria juliana
	Micromeria juriana	Micromeria juliana (L.) Benth. ex Rchb.	7774615	FUZZY	95	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria juliana
	Micromeria kosaninii	Micromeria kosaninii Å iliÄ‡	7307020	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria cristata
	Micromeria libanotica	Micromeria libanotica Boiss.	5606331	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium libanoticum
	Micromeria nubigena	Micromeria nubigena (Kunth) Benth.	7306975	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium nubigenum
	Micromeria parviflora	Micromeria parviflora Rchb.	7306956	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria longipedunculata
	Micromeria persica	Micromeria persica Boiss.	5606190	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria persica
	Micromeria pseudocroatica	Micromeria pseudocroatica Å iliÄ‡	5606151	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria	Micromeria pseudocroatica
	Micromeria thymifolia	Micromeria thymifolia (Scop.) Fritsch	7306848	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium	Clinopodium album
	Microtoena patchoulii	Microtoena patchoulii (C.B.Clarke ex Hook.f.) C.Y.Wu & Hsuan	3884817	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Microtoena	Microtoena patchoulii
	Mikania burchellii	Mikania burchellii Baker	5398472	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania burchellii
	Mikania cordata	Mikania cordata B.L.Rob.	5398634	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania cordata
	Mikania glomerata	Mikania glomerata Spreng.	7337157	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania glomerata
	Mikania hirsutissima	Mikania hirsutissima DC.	7472036	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania hirsutissima
	Mikania involucrata	Mikania involucrata Hook. & Arn.	5398925	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania involucrata
	Mikania laevigata	Mikania laevigata Sch.Bip. ex Baker	5398847	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania laevigata
	Mikania micrantha	Mikania micrantha Kunth	5398421	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania micrantha
	Mikania paranensis	Mikania paranensis DusÃ©n	5398419	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	Mikania paranensis
	Mikania sp.nov.	Mikania Willd.	7722389	EXACT	83	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Mikania	
	Minthostachys verticillata	Minthostachys verticillata (Griseb.) Epling	3884472	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Minthostachys	Minthostachys verticillata
	Minthostachys mollis	Minthostachys mollis (Kunth) Griseb.	7306778	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Minthostachys	Minthostachys mollis
	Mitranthes ottonis	Mitranthes ottonis O.Berg	3185463	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Mitranthes	Mitranthes ottonis
	Mitrantia bilocularis	Mitrantia bilocularis Peter G.Wilson & B.Hyland	3177654	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Mitrantia	Mitrantia bilocularis
	Monarda citriodora	Monarda citriodora Cerv. ex Lag.	5341423	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Monarda	Monarda citriodora
	Monarda didyma	Monarda didyma L.	5341407	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Monarda	Monarda didyma
	Monodora myristica	Monodora myristica Dunal	3154077	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Monodora	Monodora myristica
	Montanoa tomentosa	Montanoa tomentosa Cerv.	5406080	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Montanoa	Montanoa tomentosa
	Morella pubescens	Morella pubescens (Humb. & Bonpl. ex Willd.) Wilbur	3744993	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Fagales	Myricaceae	Morella	Morella pubescens
	Morina longifolia	Morina longifolia Wall.	8376167	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Caprifoliaceae	Morina	Morina longifolia
	Mosiera ehrenbergii	Mosiera ehrenbergii (O.Berg) Landrum	3185188	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Mosiera	Mosiera ehrenbergii
	Mosiera longipes	Mosiera longipes (O.Berg) Small	3185158	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Mosiera	Mosiera longipes
	Murraya koenigii	Murraya koenigii Spreng.	5421333	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Murraya	Murraya koenigii
	Musa sapientum	Musa sapientum L.	2762753	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Musaceae	Musa	Musa paradisiaca
	Myrceugenia alpigena	Myrceugenia alpigena (DC.) Landrum	3185795	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrceugenia	Myrceugenia alpigena
	Myrceugenia campestris	Myrceugenia campestris (DC.) D.Legrand & Kausel	3185527	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrceugenia	Myrceugenia campestris
	Myrceugenia glaucescens	Myrceugenia glaucescens (Cambess.) D.Legrand & Kausel	3185585	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrceugenia	Myrceugenia glaucescens
	Myrceugenia mesomischa	Myrceugenia mesomischa (Burret) D.Legrand & Kausel	3185637	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrceugenia	Myrceugenia mesomischa
	Myrceugenia miersiana	Myrceugenia miersiana (Gardner) D.Legrand & Kausel	3185852	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrceugenia	Myrceugenia miersiana
	Myrceugenia myrcioides	Myrceugenia myrcioides (CambessÃ¨des) Berg	3185702	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrceugenia	Myrceugenia myrcioides
	Myrcia aff fosteri	Myrcia fosteri Croat	3174678	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcia	Myrcia fosteri
	Myrcia laruotteana	Myrcia laruotteana Cambess.	3174534	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcia	Myrcia laruotteana
	Myrcianthes coquimbensis	Myrcianthes coquimbensis (BarnÃ©oud) Landrum & Grifo	3188162	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcianthes	Myrcianthes coquimbensis
	Myrcianthes fragrans	Myrcianthes fragrans (Sw.) McVaugh	3188228	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcianthes	Myrcianthes fragrans
	Myrcianthes osteomeloides	Myrcianthes osteomeloides (Rusby) McVaugh	3188197	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcianthes	Myrcianthes osteomeloides
	Myrcianthes pseudomato	Myrcianthes pseudomato (D.Legrand) McVaugh	3188157	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrcianthes	Myrcianthes pseudomato
	Myrciaria dubia	Myrciaria dubia (Kunth) McVaugh	3186519	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrciaria	Myrciaria dubia
	Myrciaria floribunda	Myrciaria floribunda O.Berg	3186420	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrciaria	Myrciaria floribunda
	Myrciaria tenella	Myrciaria tenella (DC.) O.Berg	3186508	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrciaria	Myrciaria tenella
	Myrica gale	Myrica gale L.	5414202	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Fagales	Myricaceae	Myrica	Myrica gale
	Myristica fragrans	Myristica fragrans Houtt.	5406817	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Myristicaceae	Myristica	Myristica fragrans
	Myrothamnus moschatus	Myrothamnus moschatus Baill.	7734665	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Gunnerales	Myrothamnaceae	Myrothamnus	Myrothamnus moschatus
	Myrrhis odorata	Myrrhis odorata Scop.	3034681	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Myrrhis	Myrrhis odorata
	Myrrhoides nodosa	Myrrhoides nodosa (L.) Cannon	3629505	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Chaerophyllum	Chaerophyllum nodosum
	Myrtus communis	Myrtus communis L.	3180085	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrtus	Myrtus communis
	Myrtus communis	Myrtus communis L.	3180085	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Myrtus	Myrtus communis
