occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Aframomum hanburyl	Aframomum hanburyi K.Schum.	2758831	FUZZY	96	SYNONYM	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum angustifolium
	Aframomum letestuanum	Aframomum letestuanum Gagnep.	2758852	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum letestuanum
	Aframomum melegueta	Aframomum melegueta K.Schum.	2758930	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum melegueta
	Aframomum pruinosum	Aframomum pruinosum Gagnep.	2758884	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum pruinosum
	Aframomum stipulatum	Aframomum stipulatum (Gagnep.) K.Schum.	2758919	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Aframomum	Aframomum alboviolaceum
	Agastache foeniculum	Agastache foeniculum Kuntze	2926406	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Agastache	Agastache foeniculum
	Agastache scrophulariaefolia	Agastache scrophulariaefolius	7307323	FUZZY	97	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Agastache	Agastache scrophulariaefolius
	Ageratina havanensis	Ageratina havanensis (Kunth) R.M.King & H.Rob.	5400768	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Trixis	Trixis inula
	Ageratum conyzoides	Ageratum conyzoides L.	5401673	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ageratum	Ageratum conyzoides
	Ajuga austro-iranica	Ajuga austroiranica Rech.f.	3888049	FUZZY	97	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga austroiranica
	Ajuga chamaecistus	Ajuga chamaecistus Ging. ex Benth.	7307249	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga chamaecistus
	Ajuga chamaepitys	Ajuga chamaepitys (L.) Schreb.	2927080	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga chamaepitys
	Ajuga chamaepitys	Ajuga chamaepitys (L.) Schreb.	2927080	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajuga	Ajuga chamaepitys
	Alchemilla alpina	Alchemilla alpina L.	3027648	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla	Alchemilla alpina
	Alkanna orientalis	Alkanna orientalis Boiss.	7295030	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Alkanna	Alkanna orientalis
	Allamanda cathartica	Allamanda cathartica L.	3169836	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Allamanda	Allamanda cathartica
	Allium fistulosum	Allium fistulosum L.	2856504	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Allium fistulosum
	Allium sativum	Allium sativum L.	2856681	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Allium	Allium sativum
	Alococarpum erianthum	Alococarpum erianthum (DC.) H.Riedl & Huber	3632268	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Prangos	Prangos eriantha
	Aloysia gratissima	Aloysia gratissima (Gillies & Hook.) Tronc.	5341161	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Aloysia	Aloysia gratissima
	Aloysia triphylla	Aloysia Juss.	8351048	HIGHERRANK	95	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Aloysia	
	Alpinia calcarata	Alpinia calcarata Roscoe	5302054	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia calcarata
	Alpinia galanga	Alpinia galanga Willd.	5302225	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia galanga
	Alpinia laosensis	Alpinia laosensis Gagnep.	5302313	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia conchigera
	Alpinia malaccensis	Alpinia malaccensis Roscoe	5302216	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia malaccensis
	Alpinia nutans	Alpinia nutans Rosc.	5301940	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia nutans
	Alpinia purpurata	Alpinia purpurata K.Schum.	5301960	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia purpurata
	Alpinia purpurata	Alpinia purpurata K.Schum.	5301960	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia purpurata
	Alpinia purpurata	Alpinia purpurata K.Schum.	5301960	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia purpurata
	Alpinia smithiae	Alpinia smithiae M.Sabu & J.K.Mangaly	5301978	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia smithiae
	Alpinia zerumbet	Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.	5301979	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia zerumbet
	Ambrosia artemisiifolia	Ambrosia artemisiifolia L.	8002952	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia artemisiifolia
	Ambrosia hispida	Ambrosia hispida Pursh	3110680	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia hispida
	Ambrosia microcephala	Ambrosia microcephala DC.	3110585	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia microcephala
	Ammodaucus leucotrichus	Ammodaucus leucotrichus Coss.	6026529	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammodaucus	Ammodaucus leucotrichus
	Ammoides atlantica	Ammoides atlantica H.Wolff	3631517	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammoides	Ammoides atlantica
	Ammoides pusilla	Ammoides pusilla (Brot.) Breistr.	6026523	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammoides	Ammoides pusilla
