89	Ammoides atlantica	Ammoides atlantica H.Wolff	Ammoides atlantica		Ammoides atlantica H.Wolff				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammoides	Ammoides atlantica	89	11	1
90	Ammoides pusilla	Ammoides pusilla (Brot.) Breistr.	Ammoides pusilla		Ammoides pusilla (Brot.) Breistr.				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammoides	Ammoides pusilla	90	11	1
91	Amomum subulatum	Amomum subulatum Roxb.	Amomum subulatum		Amomum subulatum Roxb.				Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Amomum	Amomum subulatum	91	101	1
92	Amoora rohituka	Amoora rohituka (Roxb.) Wight & Arn.	Amoora rohituka		Amoora rohituka (Roxb.) Wight & Arn.				Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Aphanamixis	Aphanamixis polystachya	92	55	1
93	Amyris elimifera	Amyris elemifera (L.)	Amyris elemifera		Amyris elemifera (L.)		Typographical error in specific epithet		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Amyris	Amyris elemifera	93	84	1
94	Anacardium humile	Anacardium humile St.Hil.	Anacardium humile		Anacardium humile St.Hil.				Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardium	Anacardium humile	94	6	1
95	Anaphalis contorta	Anaphalis contorta Hook.f.	Anaphalis contorta		Anaphalis contorta Hook.f.				Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anaphalis	Anaphalis contorta	95	15	1
96	Anemia tomentosa var. anthriscifolia	Anemia tomentosa var. anthriscifolia (Schrad.) Mickel	Anemia tomentosa		Anemia tomentosa (var.) anthriscifolia (Schrad.) Mickel				Plantae	Tracheophyta	Polypodiopsida	Schizaeales	Anemiaceae	Anemia	Anemia tomentosa	96	8	1
97	Anethum graveolens	Anethum graveolens (L.)	Anethum graveolens		Anethum graveolens (L.)				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anethum	Anethum graveolens	97	11	1
98	Angelica acutiloba	Angelica acutiloba (Siebold & Zucc.) Kitag.	Angelica acutiloba		Angelica acutiloba (Siebold & Zucc.) Kitag.				Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica acutiloba	98	11	1
